doc_id,document_link,page_count,cleaned_filer_names,member_name,member_id,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500013925,https://www.documentcloud.org/documents/24145718-500013925,24,Jeff Fortenberry,"Fortenberry, Jeff",F000449,TRUE,NE,1,R,2015,Original,2015-05-27,2015-05-30,4,Aspen Institute,"Montreal, Canada",international,NA
500013942,https://www.documentcloud.org/documents/24145701-500013942,11,Dana Rohrabacher,"Rohrabacher, Dana",R000409,TRUE,CA,48,R,2015,Original,2015-04-04,2015-04-12,9,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany; Elmau, Germany",international,NA
500014233,https://www.documentcloud.org/documents/24145419-500014233,16,Lewis Kaminski,"Engel, Eliot L.",E000179,FALSE,NY,16,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014239,https://www.documentcloud.org/documents/24145413-500014239,12,Cornelius Queen,"Van Hollen, Chris",V000128,FALSE,MD,8,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014241,https://www.documentcloud.org/documents/24145411-500014241,17,Robert Wagener,"Hanna, Richard L.",H001051,FALSE,NY,22,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014243,https://www.documentcloud.org/documents/24145409-500014243,15,Joshua Sutherland,"Jenkins, Evan",J000297,FALSE,WV,3,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014246,https://www.documentcloud.org/documents/24145406-500014246,17,Patrick Manion,"Gowdy, Trey",G000566,FALSE,SC,4,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014256,https://www.documentcloud.org/documents/24145396-500014256,16,Lauren Swing,"Allen, Rick",A000372,FALSE,GA,12,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014260,https://www.documentcloud.org/documents/24145393-500014260,17,Francis Brooke,"Barr, Andy",B001282,FALSE,KY,6,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014270,https://www.documentcloud.org/documents/24145384-500014270,16,Breanna Cameron,"Cleaver, Emanuel",C001061,FALSE,MO,5,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014274,https://www.documentcloud.org/documents/24145380-500014274,13,Jennifer Piatt,"Ashford, Brad",A000373,FALSE,NE,2,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014275,https://www.documentcloud.org/documents/24145379-500014275,16,Wesley Brooks,"Ros-Lehtinen, Ileana",R000435,FALSE,FL,27,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014283,https://www.documentcloud.org/documents/24145371-500014283,15,Jean Fundakowski,"Brownley, Julia",B001285,FALSE,CA,26,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014285,https://www.documentcloud.org/documents/24145369-500014285,11,Matthew Hodge,"Scott, Austin",S001189,FALSE,GA,8,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014286,https://www.documentcloud.org/documents/24145368-500014286,15,Livia Shmavonian,"Langevin, James R.",L000559,FALSE,RI,2,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014287,https://www.documentcloud.org/documents/24145367-500014287,16,Amanda Truong,"Hahn, Janice",H001063,FALSE,CA,44,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014292,https://www.documentcloud.org/documents/24145362-500014292,15,Kinney Christopher Schepis,"Thompson, Bennie",T000193,FALSE,MS,2,D,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014293,https://www.documentcloud.org/documents/24145361-500014293,16,Kelsey Wall,"Palmer, Gary",P000609,FALSE,AL,6,R,2015,Original,2015-06-28,2015-07-03,6,Woodrow Wilson Center,"Fort McMurray, Canada; Montreal, Canada; Vancouver, Canada",international,NA
500014358,https://www.documentcloud.org/documents/24145298-500014358,15,Patrick Meehan,"Meehan, Patrick",M001181,TRUE,PA,7,R,2015,Original,2015-08-02,2015-08-09,8,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014359,https://www.documentcloud.org/documents/24145297-500014359,21,Renee Ellmers,"Ellmers, Renee L.",E000291,TRUE,NC,2,R,2015,Original,2015-08-02,2015-08-09,8,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014360,https://www.documentcloud.org/documents/24145296-500014360,19,Erik Paulsen,"Paulsen, Erik",P000594,TRUE,MN,3,R,2015,Original,2015-08-03,2015-08-09,7,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014362,https://www.documentcloud.org/documents/24145294-500014362,26,Bill Pascrell,"Pascrell, Bill",P000096,TRUE,NJ,9,D,2015,Original,2015-08-04,2015-08-09,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014363,https://www.documentcloud.org/documents/24145293-500014363,19,Bill Shuster,"Shuster, Bill",S001154,TRUE,PA,9,R,2015,Original,2015-08-02,2015-08-09,8,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014364,https://www.documentcloud.org/documents/24145292-500014364,15,Rodney Davis,"Davis, Rodney",D000619,TRUE,IL,13,R,2015,Original,2015-08-02,2015-08-09,8,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014367,https://www.documentcloud.org/documents/24145289-500014367,24,Mike Sommers,"Boehner, John A.",B000589,FALSE,OH,8,R,2015,Original,2015-08-03,2015-08-10,8,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014368,https://www.documentcloud.org/documents/24145288-500014368,19,Larry Bucshon,"Bucshon, Larry",B001275,TRUE,IN,8,R,2015,Original,2015-08-04,2015-08-09,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014369,https://www.documentcloud.org/documents/24145287-500014369,14,Steve J. Scalise,"Scalise, Steve",S001176,TRUE,LA,1,R,2015,Original,2015-08-05,2015-08-10,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014370,https://www.documentcloud.org/documents/24145286-500014370,15,Jackie Walorski,"Walorski, Jackie",W000813,TRUE,IN,2,R,2015,Original,2015-08-04,2015-08-09,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014373,https://www.documentcloud.org/documents/24145284-500014373,26,Jeff Denham,"Denham, Jeff",D000612,TRUE,CA,10,R,2015,Original,2015-08-04,2015-08-11,8,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014375,https://www.documentcloud.org/documents/24145282-500014375,16,Michael Capuano,"Capuano, Michael",C001037,TRUE,MA,7,D,2015,Original,2015-08-03,2015-08-09,7,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014377,https://www.documentcloud.org/documents/24145280-500014377,13,Marsha Blackburn,"Blackburn, Marsha",B001243,TRUE,TN,7,R,2015,Original,2015-08-04,2015-08-09,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014378,https://www.documentcloud.org/documents/24145279-500014378,29,Karen Bass,"Bass, Karen",B001270,TRUE,CA,37,D,2015,Original,2015-08-07,2015-08-13,7,Aspen Institute,"Arusha, Tanzania",international,NA
500014381,https://www.documentcloud.org/documents/24145276-500014381,18,Kelli Briggs,"Tiberi, Patrick",T000462,FALSE,OH,12,R,2015,Original,2015-08-04,2015-08-13,10,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014382,https://www.documentcloud.org/documents/24145275-500014382,9,Tom Reed,"Reed, Tom",R000585,TRUE,NY,23,R,2015,Original,2015-08-04,2015-08-09,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014384,https://www.documentcloud.org/documents/24145273-500014384,2,Stephen F. Lynch,"Lynch, Stephen",L000562,TRUE,MA,8,D,2015,Amendment,2015-08-08,2015-08-17,10,Aspen Institute,"Arusha, Tanzania",international,NA
500014391,https://www.documentcloud.org/documents/24145266-500014391,23,Sam Farr,"Farr, Sam",F000030,TRUE,CA,20,D,2015,Amendment,2015-08-04,2015-08-14,11,Aspen Institute,"Arusha, Tanzania",international,NA
500014394,https://www.documentcloud.org/documents/24145263-500014394,2,Jason Chaffetz,"Chaffetz, Jason",C001076,TRUE,UT,3,R,2015,Amendment,2015-08-06,2015-08-14,9,Aspen Institute,"Arusha, Tanzania",international,NA
500014395,https://www.documentcloud.org/documents/24145262-500014395,27,Lloyd Doggett,"Doggett, Lloyd",D000399,TRUE,TX,37,D,2015,Original,2015-08-04,2015-08-15,12,Aspen Institute,"Arusha, Tanzania",international,NA
500014396,https://www.documentcloud.org/documents/24145261-500014396,31,Scott R. Tipton,"Tipton, Scott R.",T000470,TRUE,CO,3,R,2015,Original,2015-08-07,2015-08-15,9,Aspen Institute,"Arusha, Tanzania",international,NA
500014408,https://www.documentcloud.org/documents/24145249-500014408,21,James B. Renacci,"Renacci, James",R000586,TRUE,OH,16,R,2015,Original,2015-08-04,2015-08-09,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014409,https://www.documentcloud.org/documents/24145248-500014409,28,John Garamendi,"Garamendi, John",G000559,TRUE,CA,8,D,2015,Original,2015-08-04,2015-08-15,12,Aspen Institute,"Arusha, Tanzania",international,NA
500014414,https://www.documentcloud.org/documents/24145243-500014414,15,Sean Maloney,"Maloney, Sean Patrick",M001185,TRUE,NY,18,D,2015,Original,2015-08-04,2015-08-12,9,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014416,https://www.documentcloud.org/documents/24145241-500014416,16,Pete Sessions,"Sessions, Pete",S000250,TRUE,TX,17,R,2015,Original,2015-08-04,2015-08-09,6,Ripon Society;Franklin Center For Global Policy Exchange,"Prague, Czechia",international,NA
500014418,https://www.documentcloud.org/documents/24145239-500014418,29,Chris Stewart,"Stewart, Chris",S001192,TRUE,UT,2,R,2015,Original,2015-08-04,2015-08-14,11,Aspen Institute,"Arusha, Tanzania",international,NA
500014420,https://www.documentcloud.org/documents/24145237-500014420,28,David B. McKinley,"McKinley, David B.",M001180,TRUE,WV,1,R,2015,Original,2015-08-08,2015-08-19,12,Aspen Institute,"Arusha, Tanzania",international,NA
500014426,https://www.documentcloud.org/documents/24145230-500014426,25,Steve Womack,"Womack, Steve",W000809,TRUE,AR,3,R,2015,Original,2015-08-08,2015-08-14,7,Aspen Institute,"Arusha, Tanzania",international,NA
500014448,https://www.documentcloud.org/documents/24145209-500014448,25,Charles Dent,"Dent, Charles",D000604,TRUE,PA,15,R,2015,Original,2015-08-08,2015-08-15,8,Aspen Institute,"Arusha, Tanzania",international,NA
500014452,https://www.documentcloud.org/documents/24145205-500014452,26,Greg Walden,"Walden, Greg",W000791,TRUE,OR,2,R,2015,Original,2015-08-08,2015-08-20,13,Aspen Institute,"Arusha, Tanzania",international,NA
