doc_id,document_link,cleaned_filer_names,member_name,state,party,year,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,country_is_donor,page_count,member_id,traveler_is_likely_member,district,filing_type,dom_or_int,notes
500017996,https://www.documentcloud.org/documents/24141729-500017996,Ann Kuster,"Kuster, Ann",NH,D,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500017997,https://www.documentcloud.org/documents/24141750-500017997,Susan A. Davis,"Davis, Susan A.",CA,D,2017,2017-08-09,2017-08-18,10,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018006,https://www.documentcloud.org/documents/24141719-500018006,Chris Collins,"Collins, Chris",NY,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018018,https://www.documentcloud.org/documents/24141708-500018018,Nita Lowey,"Lowey, Nita M.",NY,D,2017,2017-08-09,2017-08-17,9,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018019,https://www.documentcloud.org/documents/24141707-500018019,David E. Price,"Price, David E.",NC,D,2017,2017-08-09,2017-08-19,11,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018020,https://www.documentcloud.org/documents/24141706-500018020,Bradley Byrne,"Byrne, Bradley",AL,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018043,https://www.documentcloud.org/documents/24141681-500018043,Chellie Pingree,"Pingree, Chellie",ME,D,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018066,https://www.documentcloud.org/documents/24141663-500018066,Daniel Donovan,"Donovan, Daniel",NY,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018073,https://www.documentcloud.org/documents/24141656-500018073,Ted Budd,"Budd, Ted",NC,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018087,https://www.documentcloud.org/documents/24141643-500018087,Patrick Meehan,"Meehan, Patrick",PA,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018088,https://www.documentcloud.org/documents/24141642-500018088,Joe Barton,"Barton, Joe",TX,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018093,https://www.documentcloud.org/documents/24141613-500018093,Brendan Boyle,"Boyle, Brendan",PA,D,2017,2017-08-09,2017-08-17,9,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018095,https://www.documentcloud.org/documents/24141611-500018095,Fred Upton,"Upton, Fred",MI,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018096,https://www.documentcloud.org/documents/24141610-500018096,Rick Larsen,"Larsen, Rick",WA,D,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018101,https://www.documentcloud.org/documents/24141605-500018101,Gene Green,"Green, Gene",TX,D,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018104,https://www.documentcloud.org/documents/24141602-500018104,Scott R. Tipton,"Tipton, Scott R.",CO,R,2017,2017-08-09,2017-08-15,7,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018131,https://www.documentcloud.org/documents/24141626-500018131,Brian Higgins,"Higgins, Brian",NY,D,2017,2017-08-09,2017-08-19,11,Aspen Institute,"Oslo, Norway",no,NA,NA,NA,NA,NA,NA,NA
500018325,https://www.documentcloud.org/documents/24141413-500018325,Justin Wein,"Price, David E.",NC,D,2017,2017-10-09,2017-10-13,5,Aspen Institute,"Warsaw, Poland",no,NA,NA,NA,NA,NA,NA,NA
500018381,https://www.documentcloud.org/documents/24141363-500018381,Mark Henson,"Himes, James",CT,D,2017,2017-10-09,2017-10-15,7,Aspen Institute,"Warsaw, Poland",no,NA,NA,NA,NA,NA,NA,NA
500018414,https://www.documentcloud.org/documents/24141332-500018414,Shira Siegel,"Lowey, Nita M.",NY,D,2017,2017-10-09,2017-10-13,5,Aspen Institute,"Warsaw, Poland",no,NA,NA,NA,NA,NA,NA,NA
500019446,https://www.documentcloud.org/documents/24140275-500019446,Kathleen M. Rice,"Rice, Kathleen M.",NY,D,2017,2017-04-08,2018-04-15,373,Aspen Institute; Sasakawa Peace Foundations Usa; Henry Luce Foundation; Democracy Fund; John D.,"Seoul, South Korea; Tokyo, Japan",no,NA,NA,NA,NA,NA,NA,NA
500019820,https://www.documentcloud.org/documents/24139912-500019820,Susan A. Davis,"Davis, Susan A.",CA,D,2018,2018-05-28,2018-06-03,7,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
500019821,https://www.documentcloud.org/documents/24139911-500019821,Janice D. Schakowsky,"Schakowsky, Janice",IL,D,2018,2018-05-25,2018-06-03,10,Aspen Institute; Carnegie Corporation Of New York; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,"Helsinki, Finland; Tallinn, Estonia",no,NA,NA,NA,NA,NA,NA,NA
